gene,mean_AD,mean_Control,log2FC,t_stat,p_value,p_adj
SEZ6L2,7.72584266842396,10.402747337545243,-2.676904669121283,-7.040114147738786,5.999254701613508e-07,4.0914917065004124e-05
VPS51,9.03259338803066,10.557968240081221,-1.525374852050561,-7.024888547306227,6.212741557382116e-07,4.209928910454253e-05
FNBP1,10.285635577393943,8.597026383146819,1.6886091942471246,7.291579005699005,6.365730165253836e-07,4.258995796006222e-05
FAM98B,9.344648185334753,7.683556777619618,1.6610914077151353,7.22664464523005,6.360446887004446e-07,4.258995796006222e-05
DNAJC8,8.025796273393814,9.290122726992099,-1.2643264535982848,-7.7372316944216,6.474289820177144e-07,4.304384760320288e-05
CAMK1G,3.9579874818754694,8.323883553991505,-4.365896072116036,-7.6081420800178385,6.610366906735374e-07,4.3673867856937275e-05
BRINP2,8.127372925553589,9.336554718780842,-1.2091817932272537,-7.089270367265488,7.158162525260786e-07,4.670921978674801e-05
FAIM2,9.073696872368313,11.42352503123849,-2.349828158870178,-7.00065390033279,7.122674964034426e-07,4.670921978674801e-05
LAS1L,7.693254691466019,8.9300710120845,-1.2368163206184812,-6.949288255489645,7.340312034331284e-07,4.757810028998854e-05
VPS35,10.746135064803898,12.211542038114827,-1.4654069733109285,-7.4914336961209225,7.381334261241245e-07,4.757810028998854e-05
IST1,10.262470228827352,9.00841802008414,1.2540522087432127,6.924165561504757,7.695253231693727e-07,4.930092237105114e-05
WRAP73,6.862044157792037,8.095221895395522,-1.2331777376034845,-7.146734205703692,7.816453050193338e-07,4.9775738068429985e-05
FAM107B,11.655787442337253,7.7840397366496825,3.8717477056875707,8.596221624996677,7.954576301530664e-07,5.035199166675488e-05
RNF213,8.145836925185884,6.35663792667806,1.7891989985078247,6.866614021624661,8.876251332098256e-07,5.585169811405397e-05
DCTN5,10.337150458780881,9.047742573335302,1.2894078854455788,7.345366963604972,9.009907951997955e-07,5.591453482298509e-05
ND6,11.539185001782723,9.217710127207129,2.3214748745755944,6.875667287152962,9.06045492426492e-07,5.591453482298509e-05
WIPI2,10.011998487994301,11.019255246570673,-1.0072567585763714,-6.873553177170545,9.078599466819136e-07,5.591453482298509e-05
LOC100288911,9.27705257109098,11.041703092168934,-1.7646505210779537,-7.0483349369151895,9.097814766392427e-07,5.591453482298509e-05
SYF2,9.345083233749262,8.371883324953876,0.9731999087953866,6.847123891856965,9.283864050526199e-07,5.6728165825498525e-05
FAM213A,9.881687703419148,10.655314796238903,-0.7736270928197548,-7.318288829173797,9.438843188346559e-07,5.734368468046637e-05
PALLD,10.07953277169301,7.875504799280554,2.2040279724124563,7.196028946222479,9.776211461399407e-07,5.748459350175746e-05
ARHGDIA,7.91763518146958,9.779132153703568,-1.8614969722339882,-7.467581588741985,9.658908287209274e-07,5.748459350175746e-05
CACNB3,8.810852357048443,10.244518320955855,-1.433665963907412,-7.031066549631674,9.659202847599461e-07,5.748459350175746e-05
P4HTM,9.312548299408604,10.610350809052695,-1.2978025096440913,-6.865933698863377,1.0005832186475615e-06,5.748459350175746e-05
H1FX,7.709584134230414,8.951337212591131,-1.2417530783607171,-6.881521318001359,9.844575119546228e-07,5.748459350175746e-05
SPATA13,9.394046984089114,7.665382807153201,1.7286641769359123,6.833574431147691,9.820245198114387e-07,5.748459350175746e-05
LOC100507217,9.661830772652412,8.520602640647901,1.1412281320045103,6.803250885714833,9.975238195902866e-07,5.748459350175746e-05
SLC1A4,8.16852398998623,9.890672948887063,-1.7221489589008332,-9.500533289943741,9.89761957570054e-07,5.748459350175746e-05
NAGPA,7.630844248648532,9.461387965702558,-1.8305437170540264,-7.296602597718048,9.94850749154899e-07,5.748459350175746e-05
MLLT11,11.647246716004606,13.311184204200506,-1.6639374881959004,-6.81677677910943,9.959215739342516e-07,5.748459350175746e-05
CCDC85B,7.324172641970146,9.253989495414759,-1.9298168534446125,-7.10730293826953,1.0084002425904787e-06,5.7620534942832165e-05
NFE2L2,9.599587725916328,7.628566747676188,1.9710209782401398,7.011342761153648,1.0245342800852707e-06,5.822769825151289e-05
MKRN1,9.700779897891215,11.505080439794755,-1.8043005419035403,-6.777298034993193,1.0551601979830944e-06,5.901639393057826e-05
PCSK1N,7.875167358894386,10.333890852701586,-2.4587234938072005,-6.793425859554171,1.044560934726261e-06,5.901639393057826e-05
DNAJC1,11.537435237684834,9.482533470710619,2.054901766974215,7.42884510263469,1.0503136169518221e-06,5.901639393057826e-05
GLTSCR1L,9.507589280444634,8.12485717645767,1.3827321039869638,7.034542152667631,1.0771616433990774e-06,5.992987227564024e-05
